Results for oceanx:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination
oceanx,RC,1,O_OTaux1:O_OTauy1:O_ITaux1:O_ITauy1,ATMIFS
oceanx,RC,2,O_OTaux2:O_OTauy2:O_ITaux2:O_ITauy2,ATMIFS
oceanx,RC,3,O_QnsMix:O_QsrMix:OTotEvap:OTotRain:OTotSnow,ATMIFS
oceanx,RC,4,O_QsrIce:O_QnsIce:O_dQnsdT:OIceEvap,ATMIFS
oceanx,RC,6,O_Runoff,RNFMAP
oceanx,RC,7,OCalving,RNFMAP
oceanx,SN,8,O_SSTSST:O_TepIce:O_AlbIce:OIceFrc:OIceTck:OSnwTck,ATMIFS

-------------------------

Total execution time: 95.5

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
1,5.16,0,0,5.16
2,0.026,0,0,0.026
4,0.238,0,0,0.238
3,0.00781,0,0,0.00781
6,0.822,0,0,0.822
7,0.437,0,0,0.437
8,0,0.171,0.0175,0.189

Σ,6.69,0.171,0.0175,6.88

-------------------------

Dependencies (s):

Component oceanx has an overhead of 1.259 (1.32%) seconds due to coupling with RNFMAP
,MPI_get,Interpolation,MPI_put
RNFMAP,1.259,0.000,0.000
Component oceanx has an overhead of 5.616 (5.88%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,5.427,0.171,0.017
