Results for oceanx:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination
oceanx,RC,1,O_OTaux1:O_OTauy1:O_ITaux1:O_ITauy1,ATMIFS
oceanx,RC,2,O_OTaux2:O_OTauy2:O_ITaux2:O_ITauy2,ATMIFS
oceanx,RC,3,O_QnsMix:O_QsrMix:OTotEvap:OTotRain:OTotSnow,ATMIFS
oceanx,RC,4,O_QsrIce:O_QnsIce:O_dQnsdT:OIceEvap,ATMIFS
oceanx,RC,6,O_Runoff,RNFMAP
oceanx,RC,7,OCalving,RNFMAP
oceanx,SN,8,O_SSTSST:O_TepIce:O_AlbIce:OIceFrc:OIceTck:OSnwTck,ATMIFS

-------------------------

Total execution time: 117

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
1,23.3,0,0,23.3
2,0.144,0,0,0.144
4,0.637,0,0,0.637
3,0.00678,0,0,0.00678
6,3.1,0,0,3.1
7,1.49,0,0,1.49
8,0,0.0913,0.0147,0.106

Σ,28.6,0.0913,0.0147,28.7

-------------------------

Dependencies (s):

Component oceanx has an overhead of 4.596 (3.94%) seconds due to coupling with RNFMAP
,MPI_get,Interpolation,MPI_put
RNFMAP,4.596,0.000,0.000
Component oceanx has an overhead of 24.150 (20.72%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,24.044,0.091,0.015
