Results for oceanx:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination
oceanx,RC,1,O_OTaux1:O_OTauy1:O_ITaux1:O_ITauy1,ATMIFS
oceanx,RC,2,O_OTaux2:O_OTauy2:O_ITaux2:O_ITauy2,ATMIFS
oceanx,RC,3,O_QnsMix:O_QsrMix:OTotEvap:OTotRain:OTotSnow,ATMIFS
oceanx,RC,4,O_QsrIce:O_QnsIce:O_dQnsdT:OIceEvap,ATMIFS
oceanx,RC,6,O_Runoff,RNFMAP
oceanx,RC,7,OCalving,RNFMAP
oceanx,SN,8,O_SSTSST:O_TepIce:O_AlbIce:OIceFrc:OIceTck:OSnwTck,ATMIFS

-------------------------

Total execution time: 94.3

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
1,3.73,0,0,3.73
2,0.0327,0,0,0.0327
4,0.253,0,0,0.253
3,0.00802,0,0,0.00802
6,0.982,0,0,0.982
7,0.453,0,0,0.453
8,0,0.151,0.018,0.169

Σ,5.46,0.151,0.018,5.63

-------------------------

Dependencies (s):

Component oceanx has an overhead of 1.435 (1.52%) seconds due to coupling with RNFMAP
,MPI_get,Interpolation,MPI_put
RNFMAP,1.435,0.000,0.000
Component oceanx has an overhead of 4.197 (4.45%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,4.027,0.151,0.018
