Results for oceanx:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination
oceanx,RC,1,O_OTaux1:O_OTauy1:O_ITaux1:O_ITauy1,ATMIFS
oceanx,RC,2,O_OTaux2:O_OTauy2:O_ITaux2:O_ITauy2,ATMIFS
oceanx,RC,3,O_QnsMix:O_QsrMix:OTotEvap:OTotRain:OTotSnow,ATMIFS
oceanx,RC,4,O_QsrIce:O_QnsIce:O_dQnsdT:OIceEvap,ATMIFS
oceanx,RC,6,O_Runoff,RNFMAP
oceanx,RC,7,OCalving,RNFMAP
oceanx,SN,8,O_SSTSST:O_TepIce:O_AlbIce:OIceFrc:OIceTck:OSnwTck,ATMIFS

-------------------------

Total execution time: 102

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
1,12.3,0,0,12.3
2,0.034,0,0,0.034
4,0.188,0,0,0.188
3,0.00748,0,0,0.00748
6,0.853,0,0,0.853
7,0.498,0,0,0.498
8,0,0.122,0.0158,0.138

Σ,13.8,0.122,0.0158,14

-------------------------

Dependencies (s):

Component oceanx has an overhead of 1.351 (1.32%) seconds due to coupling with RNFMAP
,MPI_get,Interpolation,MPI_put
RNFMAP,1.351,0.000,0.000
Component oceanx has an overhead of 12.623 (12.35%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,12.486,0.122,0.016
