Results for oceanx:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination
oceanx,RC,1,O_OTaux1:O_OTauy1:O_ITaux1:O_ITauy1,ATMIFS
oceanx,RC,2,O_OTaux2:O_OTauy2:O_ITaux2:O_ITauy2,ATMIFS
oceanx,RC,3,O_QnsMix:O_QsrMix:OTotEvap:OTotRain:OTotSnow,ATMIFS
oceanx,RC,4,O_QsrIce:O_QnsIce:O_dQnsdT:OIceEvap,ATMIFS
oceanx,RC,6,O_Runoff,RNFMAP
oceanx,RC,7,OCalving,RNFMAP
oceanx,SN,8,O_SSTSST:O_TepIce:O_AlbIce:OIceFrc:OIceTck:OSnwTck,ATMIFS

-------------------------

Total execution time: 137

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
1,42.4,0,0,42.4
2,0.0529,0,0,0.0529
4,0.226,0,0,0.226
3,0.00634,0,0,0.00634
6,4.38,0,0,4.38
7,1.61,0,0,1.61
8,0,0.108,0.0141,0.122

Σ,48.7,0.108,0.0141,48.8

-------------------------

Dependencies (s):

Component oceanx has an overhead of 5.989 (4.38%) seconds due to coupling with RNFMAP
,MPI_get,Interpolation,MPI_put
RNFMAP,5.989,0.000,0.000
Component oceanx has an overhead of 42.805 (31.28%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,42.683,0.108,0.014
