Results for oceanx:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination
oceanx,RC,1,O_OTaux1:O_OTauy1:O_ITaux1:O_ITauy1,ATMIFS
oceanx,RC,2,O_OTaux2:O_OTauy2:O_ITaux2:O_ITauy2,ATMIFS
oceanx,RC,3,O_QnsMix:O_QsrMix:OTotEvap:OTotRain:OTotSnow,ATMIFS
oceanx,RC,4,O_QsrIce:O_QnsIce:O_dQnsdT:OIceEvap,ATMIFS
oceanx,RC,6,O_Runoff,RNFMAP
oceanx,RC,7,OCalving,RNFMAP
oceanx,SN,8,O_SSTSST:O_TepIce:O_AlbIce:OIceFrc:OIceTck:OSnwTck,ATMIFS

-------------------------

Total execution time: 99.1

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
1,9.97,0,0,9.97
2,0.0255,0,0,0.0255
4,0.0736,0,0,0.0736
3,0.00798,0,0,0.00798
6,0.759,0,0,0.759
7,0.447,0,0,0.447
8,0,0.146,0.0171,0.163

Σ,11.3,0.146,0.0171,11.4

-------------------------

Dependencies (s):

Component oceanx has an overhead of 1.206 (1.22%) seconds due to coupling with RNFMAP
,MPI_get,Interpolation,MPI_put
RNFMAP,1.206,0.000,0.000
Component oceanx has an overhead of 10.239 (10.34%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,10.077,0.146,0.017
