Results for oceanx:


Fields that the component uses during the coupling:

Origin,Operation,Field,Fields,Destination
oceanx,RC,1,O_OTaux1:O_OTauy1:O_ITaux1:O_ITauy1,ATMIFS
oceanx,RC,2,O_OTaux2:O_OTauy2:O_ITaux2:O_ITauy2,ATMIFS
oceanx,RC,3,O_QnsMix:O_QsrMix:OTotEvap:OTotRain:OTotSnow,ATMIFS
oceanx,RC,4,O_QsrIce:O_QnsIce:O_dQnsdT:OIceEvap,ATMIFS
oceanx,RC,6,O_Runoff,RNFMAP
oceanx,RC,7,OCalving,RNFMAP
oceanx,SN,8,O_SSTSST:O_TepIce:O_AlbIce:OIceFrc:OIceTck:OSnwTck,ATMIFS

-------------------------

Total execution time: 96.6

Time in interpolation or MPI per Field:

Field,MPI_get,Interpolation,MPI_put,Total
1,4.06,0,0,4.06
2,0.0594,0,0,0.0594
4,0.347,0,0,0.347
3,0.00836,0,0,0.00836
6,1.52,0,0,1.52
7,0.478,0,0,0.478
8,0,0.137,0.0179,0.155

Σ,6.47,0.137,0.0179,6.63

-------------------------

Dependencies (s):

Component oceanx has an overhead of 1.995 (2.06%) seconds due to coupling with RNFMAP
,MPI_get,Interpolation,MPI_put
RNFMAP,1.995,0.000,0.000
Component oceanx has an overhead of 4.635 (4.80%) seconds due to coupling with ATMIFS
,MPI_get,Interpolation,MPI_put
ATMIFS,4.479,0.137,0.018
